Kolk M.; Andersson L.; Pettersson E.; and Drefahl S. (2021). The Swedish Kinship Universe – A demographic account of the number of children parents siblings grandchildren grandparents aunts/uncles nieces/nephews and cousins using national population registers. Stockholm Research Reports in Demography 28. doi:10.17045/sthlmuni.17704988.v1.,,
The data includes the data from the study based on Swedish born indivudals resident in Sweden 2018. The data is from figure 11 in the working paper.,,
,,
cohort,mean,kin
1988,1.614650554,nephews/nieces
1989,1.442002842,nephews/nieces
1990,1.295550586,nephews/nieces
1991,1.158731781,nephews/nieces
1992,1.020010121,nephews/nieces
1993,0.895502174,nephews/nieces
1994,0.765859863,nephews/nieces
1995,0.667309411,nephews/nieces
1996,0.575527783,nephews/nieces
1997,0.503690268,nephews/nieces
1998,0.449300679,nephews/nieces
1999,0.389658528,nephews/nieces
2000,0.346866049,nephews/nieces
2001,0.288217861,nephews/nieces
2002,0.239076687,nephews/nieces
2003,0.20313143,nephews/nieces
2004,0.16858861,nephews/nieces
2005,0.139020187,nephews/nieces
2006,0.114433716,nephews/nieces
2007,0.095293501,nephews/nieces
2008,0.082212662,nephews/nieces
2009,0.065383102,nephews/nieces
2010,0.053422975,nephews/nieces
2011,0.044174691,nephews/nieces
2012,0.033331534,nephews/nieces
2013,0.026815473,nephews/nieces
2014,0.020166167,nephews/nieces
2015,0.017210445,nephews/nieces
2016,0.012665913,nephews/nieces
2017,0.010754651,nephews/nieces
1932,0.366919679,siblings
1933,0.71866835,siblings
1934,0.896117949,siblings
1935,1.016046056,siblings
1936,1.11139885,siblings
1937,1.190163201,siblings
1938,1.274242871,siblings
1939,1.347911949,siblings
1940,1.435768512,siblings
1941,1.480650332,siblings
1942,1.478707482,siblings
1943,1.47750675,siblings
1944,1.494844931,siblings
1945,1.532560907,siblings
1946,1.596729728,siblings
1947,1.645428833,siblings
1948,1.70530243,siblings
1949,1.749217984,siblings
1950,1.801210109,siblings
1951,1.826475194,siblings
1952,1.873202272,siblings
1953,1.896545769,siblings
1954,1.924020237,siblings
1955,1.946166466,siblings
1956,1.96202802,siblings
1957,1.971125156,siblings
1958,1.981482676,siblings
1959,1.989674276,siblings
1960,2.005803434,siblings
1961,2.000793736,siblings
1962,1.997968517,siblings
1963,1.97549802,siblings
1964,1.956826719,siblings
1965,1.937156104,siblings
1966,1.891867113,siblings
1967,1.868631001,siblings
1968,1.856039305,siblings
1969,1.849672868,siblings
1970,1.851218899,siblings
1971,1.836623178,siblings
1972,1.845274816,siblings
1973,1.854741345,siblings
1974,1.863439845,siblings
1975,1.88130852,siblings
1976,1.901712974,siblings
1977,1.933862615,siblings
1978,1.968346694,siblings
1979,2.010560704,siblings
1980,2.035187683,siblings
1981,2.059959303,siblings
1982,2.096116901,siblings
1983,2.122095618,siblings
1984,2.127378036,siblings
1985,2.156266302,siblings
1986,2.15035917,siblings
1987,2.127806791,siblings
1988,2.124443731,siblings
1989,2.106419227,siblings
1990,2.091794135,siblings
1991,2.075498539,siblings
1992,2.05864089,siblings
1993,2.040015325,siblings
1994,2.011020435,siblings
1995,2.015455997,siblings
1996,1.99901278,siblings
1997,1.994501671,siblings
1998,2.004252238,siblings
1999,1.993096418,siblings
2000,1.995827413,siblings
2001,1.960610636,siblings
2002,1.936303764,siblings
2003,1.907137273,siblings
2004,1.869836778,siblings
2005,1.848039265,siblings
2006,1.812148514,siblings
2007,1.783272138,siblings
2008,1.755653231,siblings
2009,1.708608241,siblings
2010,1.662658692,siblings
2011,1.605768265,siblings
2012,1.540890521,siblings
2013,1.471795055,siblings
2014,1.386285955,siblings
2015,1.237035553,siblings
2016,1.095247331,siblings
2017,1.047713441,siblings
1950,0.035553652,cousins
1951,0.089727785,cousins
1952,0.185938744,cousins
1953,0.325237478,cousins
1954,0.509152641,cousins
1955,0.757613289,cousins
1956,1.055794037,cousins
1957,1.359962356,cousins
1958,1.725120368,cousins
1959,2.17243312,cousins
1960,2.619301381,cousins
1961,3.081454467,cousins
1962,3.61291398,cousins
1963,4.08022502,cousins
1964,4.534733222,cousins
1965,4.9854594,cousins
1966,5.414401539,cousins
1967,5.750743675,cousins
1968,6.078639879,cousins
1969,6.328319699,cousins
1970,6.564744911,cousins
1971,6.767309162,cousins
1972,6.99485914,cousins
1973,7.186775406,cousins
1974,7.359936391,cousins
1975,7.525223523,cousins
1976,7.544317764,cousins
1977,7.653970753,cousins
1978,7.688062719,cousins
1979,7.725410347,cousins
1980,7.841964486,cousins
1981,7.886255376,cousins
1982,7.945520172,cousins
1983,8.03138729,cousins
1984,8.035805041,cousins
1985,8.095863763,cousins
1986,8.054943559,cousins
1987,7.981274512,cousins
1988,7.921116035,cousins
1989,7.841514522,cousins
1990,7.698489087,cousins
1991,7.588416686,cousins
1992,7.371014915,cousins
1993,7.137313779,cousins
1994,7.024742593,cousins
1995,6.856095528,cousins
1996,6.76877346,cousins
1997,6.662662697,cousins
1998,6.580166182,cousins
1999,6.491509521,cousins
2000,6.415386697,cousins
2001,6.25539339,cousins
2002,6.160673942,cousins
2003,6.007715414,cousins
2004,5.847652736,cousins
2005,5.713433377,cousins
2006,5.580049582,cousins
2007,5.449172667,cousins
2008,5.228598148,cousins
2009,5.078029631,cousins
2010,4.834129922,cousins
2011,4.681787067,cousins
2012,4.493862822,cousins
2013,4.259397925,cousins
2014,4.040121996,cousins
2015,3.775671956,cousins
2016,3.488295414,cousins
2017,3.259398366,cousins
1950,0.011405012,uncles/aunts
1951,0.029820411,uncles/aunts
1952,0.061725164,uncles/aunts
1953,0.110114421,uncles/aunts
1954,0.174296659,uncles/aunts
1955,0.258694306,uncles/aunts
1956,0.36485563,uncles/aunts
1957,0.474199793,uncles/aunts
1958,0.609534864,uncles/aunts
1959,0.770247257,uncles/aunts
1960,0.934805155,uncles/aunts
1961,1.117548,uncles/aunts
1962,1.325547719,uncles/aunts
1963,1.514364249,uncles/aunts
1964,1.704213242,uncles/aunts
1965,1.898134618,uncles/aunts
1966,2.087063603,uncles/aunts
1967,2.251576046,uncles/aunts
1968,2.395339787,uncles/aunts
1969,2.519510172,uncles/aunts
1970,2.641578286,uncles/aunts
1971,2.76053927,uncles/aunts
1972,2.88379699,uncles/aunts
1973,2.989166067,uncles/aunts
1974,3.099070715,uncles/aunts
1975,3.182597405,uncles/aunts
1976,3.23061063,uncles/aunts
1977,3.297447129,uncles/aunts
1978,3.344965796,uncles/aunts
1979,3.377315471,uncles/aunts
1980,3.454102045,uncles/aunts
1981,3.503861629,uncles/aunts
1982,3.557594458,uncles/aunts
1983,3.617432163,uncles/aunts
1984,3.656544035,uncles/aunts
1985,3.697107025,uncles/aunts
1986,3.72642359,uncles/aunts
1987,3.719005913,uncles/aunts
1988,3.732282051,uncles/aunts
1989,3.736498305,uncles/aunts
1990,3.710367228,uncles/aunts
1991,3.688141542,uncles/aunts
1992,3.625957407,uncles/aunts
1993,3.552587497,uncles/aunts
1994,3.528098859,uncles/aunts
1995,3.489419823,uncles/aunts
1996,3.483445074,uncles/aunts
1997,3.457342322,uncles/aunts
1998,3.457230529,uncles/aunts
1999,3.46137006,uncles/aunts
2000,3.475562172,uncles/aunts
2001,3.449264665,uncles/aunts
2002,3.458193018,uncles/aunts
2003,3.437916632,uncles/aunts
2004,3.420324423,uncles/aunts
2005,3.423450208,uncles/aunts
2006,3.431410188,uncles/aunts
2007,3.443049926,uncles/aunts
2008,3.430449827,uncles/aunts
2009,3.440926436,uncles/aunts
2010,3.425979097,uncles/aunts
2011,3.442522703,uncles/aunts
2012,3.445467307,uncles/aunts
2013,3.428082528,uncles/aunts
2014,3.418695553,uncles/aunts
2015,3.372236835,uncles/aunts
2016,3.303897593,uncles/aunts
2017,3.298895844,uncles/aunts
1950,4.28E-05,grandparents
1951,3.33E-05,grandparents
1952,0.000119939,grandparents
1953,0.000161917,grandparents
1954,0.000256877,grandparents
1955,0.000510631,grandparents
1956,0.000587306,grandparents
1957,0.001272632,grandparents
